entity_type,entity_id,entity_name,season,mu,sigma
driver,858,,2,-0.21504680812358856,0.18148839473724365
driver,859,,2,0.23099678754806519,0.26712945103645325
driver,860,,2,0.3150935769081116,0.2572331726551056
driver,861,,2,0.2158902883529663,0.2598804831504822
driver,862,,2,0.05264052748680115,0.31521791219711304
constructor,1,,2,0.24119728803634644,0.07156730443239212
constructor,3,,2,0.00014193356037139893,0.06769005209207535
constructor,4,,2,-0.13428077101707458,0.07417567074298859
constructor,5,,2,-0.0445074662566185,0.07316644489765167
constructor,6,,2,0.4968737065792084,0.055508315563201904
constructor,9,,2,0.961340606212616,0.0659104585647583
constructor,10,,2,0.21425005793571472,0.06593483686447144
constructor,15,,2,-0.1577451378107071,0.06332986801862717
constructor,131,,2,1.067117691040039,0.0832066684961319
constructor,164,,2,-0.83641517162323,0.11163660138845444
constructor,166,,2,-0.5129818320274353,0.11031164228916168
constructor,205,,2,-0.4599772095680237,0.15991322696208954
constructor,206,,2,-0.39970362186431885,0.13044416904449463
constructor,207,,2,-0.7227508425712585,0.12949025630950928
constructor,208,,2,0.3996153175830841,0.08556869626045227
constructor,209,,2,-0.41312161087989807,0.10627862811088562
constructor,210,,2,0.30094707012176514,0.0908832997083664
driver,1,,3,0.9030462503433228,0.08064351975917816
driver,2,,3,-0.5913986563682556,0.28487256169319153
driver,3,,3,0.6139480471611023,0.1467811018228531
driver,4,,3,0.8091226816177368,0.08477213233709335
driver,5,,3,-0.29760122299194336,0.2997286021709442
driver,8,,3,0.1705126166343689,0.09656523168087006
driver,9,,3,-0.30758416652679443,0.17490707337856293
driver,10,,3,-0.2881741225719452,0.29131627082824707
driver,13,,3,0.0778769701719284,0.12264762073755264
driver,15,,3,-0.6781669855117798,0.3243556618690491
driver,16,,3,-0.5833171010017395,0.20727919042110443
driver,17,,3,0.2960647642612457,0.31983357667922974
driver,18,,3,0.6569657921791077,0.1407681256532669
driver,20,,3,1.1120898723602295,0.09196203202009201
driver,22,,3,-0.2754286527633667,0.3019121289253235
driver,24,,3,-0.8757806420326233,0.30572181940078735
driver,30,,3,-0.4888065457344055,0.2836092412471771
driver,37,,3,-0.10614516586065292,0.3194584250450134
driver,39,,3,-0.48066380620002747,0.3101450502872467
driver,67,,3,-0.26384127140045166,0.2796957492828369
driver,153,,3,-0.44596701860427856,0.3205723762512207
driver,154,,3,-0.22826355695724487,0.10338883846998215
driver,155,,3,-0.13688933849334717,0.23345743119716644
driver,807,,3,0.42200320959091187,0.09210836887359619
driver,808,,3,0.13190242648124695,0.30164778232574463
driver,811,,3,-0.39392340183258057,0.29137831926345825
driver,812,,3,-0.7784344553947449,0.28227025270462036
driver,813,,3,-0.42680761218070984,0.16769009828567505
driver,814,,3,-0.23550887405872345,0.2897467017173767
driver,815,,3,0.32454198598861694,0.07342882454395294
driver,816,,3,-0.6971219778060913,0.3008021116256714
