entity_type,entity_id,season,mu
driver,860,2,0.2671085298061371
driver,861,2,0.2181207686662674
driver,862,2,0.02239898219704628
constructor,1,2,0.2602307200431824
constructor,3,2,-0.011487454175949097
constructor,4,2,-0.14828646183013916
constructor,5,2,-0.04485323652625084
constructor,6,2,0.5265854597091675
constructor,9,2,0.9376845359802246
constructor,10,2,0.21344725787639618
constructor,15,2,-0.16230547428131104
constructor,131,2,1.0678398609161377
constructor,164,2,-0.8306690454483032
constructor,166,2,-0.5197202563285828
constructor,205,2,-0.4656335413455963
constructor,206,2,-0.40235820412635803
constructor,207,2,-0.7168561816215515
constructor,208,2,0.40941184759140015
constructor,209,2,-0.41944587230682373
constructor,210,2,0.3064161539077759
driver,1,3,0.8790674209594727
driver,2,3,-0.3845149874687195
driver,3,3,0.7444024085998535
driver,4,3,0.9617388248443604
driver,5,3,-0.3026401102542877
driver,8,3,0.19006717205047607
driver,9,3,-0.1813182532787323
driver,10,3,-0.3585495054721832
driver,13,3,0.04113529622554779
driver,15,3,-0.6078530550003052
driver,16,3,-0.5694404244422913
driver,17,3,0.07027208805084229
driver,18,3,0.7470022439956665
driver,20,3,1.1534801721572876
driver,22,3,-0.275154173374176
driver,24,3,-0.7749476432800293
driver,30,3,-0.5755577683448792
driver,37,3,-0.1644359529018402
driver,39,3,-0.46533024311065674
driver,67,3,-0.16949740052223206
driver,153,3,-0.3533894121646881
driver,154,3,-0.06896814703941345
driver,155,3,-0.049659281969070435
driver,807,3,0.460056334733963
driver,808,3,0.04827726259827614
driver,811,3,-0.09661592543125153
driver,812,3,-0.7835161089897156
driver,813,3,-0.4703809320926666
driver,814,3,-0.2540866732597351
driver,815,3,0.22143352031707764
driver,816,3,-0.7750433683395386
driver,817,3,0.32089921832084656
driver,818,3,-0.08974505960941315
driver,819,3,-0.20785236358642578
driver,820,3,-0.6573572754859924
driver,821,3,-0.1684693545103073
driver,822,3,0.591431736946106
driver,823,3,-0.42214298248291016
driver,824,3,-0.4655824601650238
driver,825,3,0.39565587043762207
driver,826,3,0.22877775132656097
driver,827,3,0.02339160442352295
driver,828,3,-0.08530177175998688
driver,829,3,-0.3821566104888916
driver,830,3,0.5654561519622803
driver,831,3,0.3835359215736389
driver,832,3,0.5818272829055786
driver,833,3,0.012032285332679749
driver,834,3,0.19811956584453583
driver,835,3,-0.27065175771713257
driver,836,3,-0.19137777388095856
driver,837,3,-0.6550571322441101
driver,838,3,0.09009094536304474
driver,839,3,0.27894312143325806
driver,840,3,-0.18246617913246155
driver,841,3,0.018121354281902313
driver,842,3,0.36064213514328003
driver,843,3,-0.275890052318573
driver,844,3,0.25842761993408203
driver,845,3,-0.45783042907714844
driver,846,3,0.48135077953338623
driver,847,3,-0.17697183787822723
driver,848,3,0.32294124364852905
driver,849,3,-0.2504657804965973
driver,850,3,-0.47251155972480774
driver,851,3,-0.006744310259819031
driver,852,3,-0.03364533185958862
driver,853,3,-0.14746108651161194
driver,854,3,0.06055830419063568
driver,855,3,-0.11044055223464966
driver,856,3,-0.25316905975341797
driver,857,3,0.4075556993484497
driver,858,3,-0.1996631920337677
driver,859,3,0.39744579792022705
driver,860,3,0.3160209357738495
driver,861,3,0.2365102767944336
driver,862,3,0.051565978676080704
constructor,1,3,0.19536328315734863
constructor,3,3,0.38436537981033325
constructor,4,3,-0.1461157202720642
constructor,5,3,0.05250221863389015
constructor,6,3,0.6635093688964844
constructor,9,3,0.7022901177406311
constructor,10,3,0.2634398341178894
constructor,15,3,-0.2668669819831848
constructor,131,3,1.6590416431427002
constructor,164,3,-0.8411434888839722
constructor,166,3,-0.5288392305374146
constructor,205,3,-0.4735288619995117
constructor,206,3,-0.46318885684013367
constructor,207,3,-1.1560752391815186
constructor,208,3,0.11059652268886566
constructor,209,3,-0.5496643781661987
constructor,210,3,0.39431440830230713
driver,1,4,0.8796260952949524
driver,2,4,-0.3496577739715576
driver,3,4,0.5464041233062744
driver,4,4,0.6248830556869507
driver,5,4,-0.32846078276634216
driver,8,4,0.30371344089508057
driver,9,4,-0.1633135974407196
